participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
43,i1yg71jt,,0,10,9,ultimatum_t1,1,Validation,10.109.163.176,2017-08-18 00:45:04.396300+00:00,0,1,AWSNADH4KGWFT,32VNZTT0A8JIVBT2LBZXDKCB9UD4RY,0.50,2,2605078,0.50,20,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
44,vtctpbro,,0,10,9,ultimatum_t1,1,Validation,10.158.177.57,2017-08-18 00:54:57.859268+00:00,0,1,AXQAMAX5I3RMS,3BXQMRHWK0DQFTAPV9UY4PGV2K2UMN,1.00,1,6786631,1.00,21,0.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
45,y43ukk73,,0,10,9,ultimatum_t1,1,Validation,10.81.229.55,2017-08-18 00:56:38.791855+00:00,0,1,A1JIINGFTRE54O,3WYGZ5XF3XUFASIILSMIAB63SIMSK0,0.00,2,8477139,0.00,21,0.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
46,m1w4v2t4,,0,8,9,ultimatum_t1,1,Results,10.109.135.32,2017-08-18 00:56:53.756842+00:00,0,1,A3PMDWQTGOHQ8T,3V5Q80FXIY6G9VTD67FD27CXJ2232Y,0.00,1,,0.00,22,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
47,gfd22tcy,,0,8,9,ultimatum_t1,1,Results,10.63.211.204,2017-08-18 01:04:34.149139+00:00,0,1,A1YC558J4E5KZ,3EICBYG645B4SRN46LW6UR28RQ2CJT,0.00,2,,0.00,42,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
48,6s4c2dmh,,0,10,9,ultimatum_t1,1,Validation,10.138.121.5,2017-08-18 01:06:55.897111+00:00,0,1,A8DQMHN64SZOX,3DPNQGW4LMUP9SVITNWZ2PLFD71644,0.50,2,8052,0.50,23,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
49,gcs3j3wt,,0,10,9,ultimatum_t1,1,Validation,10.230.176.210,2017-08-18 01:07:08.834963+00:00,0,1,A2HNMVLSQ0X86S,333U7HK6IAUEXJTI6HRHEXKQCQEJD0,0.50,1,351733,0.50,23,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
50,vswaue3q,,0,10,9,ultimatum_t1,1,Validation,10.178.162.66,2017-08-18 01:12:50.443611+00:00,0,1,A1CT5GSRBEQZA3,3WSELTNVR4HADFMBY1EJQ2ZTPP9ATV,0.50,1,8116627,0.50,24,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
51,zakoqcit,,0,10,9,ultimatum_t1,1,Validation,10.150.135.91,2017-08-18 01:13:05.102930+00:00,0,1,A29HDBGSELFSUY,3BF51CHDTWPO7TXY6501NDKS5920HK,0.50,1,1278436,0.50,25,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
52,qubpq5lf,,0,8,9,ultimatum_t1,1,Results,10.186.81.42,2017-08-18 01:13:19.874323+00:00,0,1,A3UPAXLDS67HKJ,3SEPORI8WOE6ZRVA4T31CQ0AALVAZB,0.00,2,,0.00,43,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
53,1g1t01ti,,0,10,9,ultimatum_t1,1,Validation,10.138.121.5,2017-08-18 01:16:20.823954+00:00,0,1,AVHJ2SNIMGZ91,3ZSY5X72NYQMZ43K4VE6RIIGQLGORV,0.50,2,9930382,0.50,24,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
54,jvbcdvta,,0,10,9,ultimatum_t1,1,Validation,10.33.230.36,2017-08-18 01:20:02.335224+00:00,0,1,A1207N7QFOFPKB,3YGXWBAF71WEP94J3E92OPDP9TE4CW,0.50,2,7849809,0.50,25,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
55,2wx1jhyo,,0,10,9,ultimatum_t1,1,Validation,10.30.53.152,2017-08-18 01:20:34.996630+00:00,0,1,A3QNLYEQ6WOG53,3RKNTXVS3NDQWU7LJ0DBIUN19QT4AU,0.25,2,8340711,0.25,26,0.25,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
56,g6xyy41e,,0,10,9,ultimatum_t1,1,Validation,10.186.81.42,2017-08-18 01:20:37.428841+00:00,0,1,A14XOONDRPA4Z,3S4AW7T80CX7SDYPGR21R83C32SL4T,0.75,1,2291648,0.75,26,0.25,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
57,r8ewgenh,,0,8,9,ultimatum_t1,1,Results,10.236.12.50,2017-08-18 01:21:41.812441+00:00,0,1,A15VRRHQCLJHC8,3JAOYWH7VJJ8PJ41XMYS8GESPU69LD,0.00,1,,0.00,38,0.20,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
58,dm2bm6ng,,0,10,9,ultimatum_t1,1,Validation,10.230.176.210,2017-08-18 01:24:07.747856+00:00,0,1,A36L5AJ4CF3WCK,317HQ483I87ROK0PDTKKY1HKDFTNIC,0.50,1,6606788,0.50,32,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
59,g8uddnpv,,0,10,9,ultimatum_t1,1,Validation,10.71.211.222,2017-08-18 01:25:08.328219+00:00,0,1,A2I9PUZT19ZBO8,3ZDAD0O1T2SM9SU49B6XAAARQAJXTN,0.50,1,2872228,0.50,27,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
60,r1vwncj7,,0,8,9,ultimatum_t1,1,Results,10.154.148.197,2017-08-18 01:25:17.983331+00:00,0,1,A3LSAOP94U6K97,33OOO72IVI0Y6UJ9IFAAWXPHPSWCT1,0.00,1,,0.00,43,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
61,kpxpghmf,,0,10,9,ultimatum_t1,1,Validation,10.109.132.249,2017-08-18 01:27:20.752182+00:00,0,1,A3RDR3WLGGNVVV,3GLB5JMZFYA46H3HYB6EHKSAKY0GDW,0.50,2,5799185,0.50,27,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
62,k13mp1cm,,0,10,9,ultimatum_t1,1,Validation,10.63.231.107,2017-08-18 01:27:22.803028+00:00,0,1,A3U2UNSYDPS933,3MRNMEIQW6LKS9HI923UUCXIGFMDLZ,0.00,1,443698,0.00,35,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
63,jte66tk4,,0,10,9,ultimatum_t1,1,Validation,10.150.135.91,2017-08-18 01:27:53.132982+00:00,0,1,A1LDP0JIA4IKAQ,3S96KQ6I9NJ8BMPNIB5LG37ZAS8DT2,0.50,1,6800029,0.50,28,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
64,z75oc04k,,0,10,9,ultimatum_t1,1,Validation,10.45.50.47,2017-08-18 01:29:32.430955+00:00,0,1,A26H6ROXL9JY4O,3ZAK8W07I5TTCF3I64706S9IZH6U0H,0.50,2,4844756,0.50,28,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
